"","Plot.ID","Species","n","rel.freq","Class"
"519","SM14","Hickory",1,"20%","Canopy"
"520","SM14","Red oak",2,"40%","Canopy"
"521","SM15","Black oak",1,"33%","Canopy"
"522","SM15","Tulip poplar",2,"67%","Canopy"
"523","SM2","Blackgum",1,"50%","Canopy"
"524","SM2","Red maple",1,"50%","Canopy"
"525","SM3",NA,1,"100%","Canopy"
"526","SM4",NA,1,"100%","Canopy"
"527","SM5","Blackgum",2,"29%","Canopy"
"528","SM5","Red maple",2,"29%","Canopy"
"529","SM5","Tulip poplar",3,"43%","Canopy"
"530","SM6","Red maple",5,"71%","Canopy"
"531","SM6","Striped maple",1,"14%","Canopy"
"532","SM6","Tulip poplar",1,"14%","Canopy"
"533","SM7","Ailanthus",1,"17%","Canopy"
"534","SM7","Tulip poplar",3,"50%","Canopy"
"535","SM7","Walnut",2,"33%","Canopy"
"536","SM8",NA,1,"100%","Canopy"
"537","SM9","Red maple",1,"14%","Canopy"
"538","SM9","Red oak",1,"14%","Canopy"
"539","SM9","Striped maple",1,"14%","Canopy"
"540","SM9","Sweet birch",3,"43%","Canopy"
"541","SM9","Tulip poplar",1,"14%","Canopy"
"542","SMH1","Post oak",1,"50%","Canopy"
"543","SMH1","White oak",1,"50%","Canopy"
"544","SMH10",NA,1,"100%","Canopy"
"545","SMH2","Black oak",1,"9%","Canopy"
"546","SMH2","Blackgum",4,"36%","Canopy"
"547","SMH2","Red maple",1,"9%","Canopy"
"548","SMH2","Red oak",3,"27%","Canopy"
"549","SMH2","White oak",2,"18%","Canopy"
"550","SMH3",NA,1,"100%","Canopy"
"551","SMH4","Hickory",2,"22%","Canopy"
"552","SMH4","White oak",5,"56%","Canopy"
"553","SMH4","White pine",2,"22%","Canopy"
"554","SMH5",NA,1,"100%","Canopy"
"555","SMH6","Blackgum",2,"33%","Canopy"
"556","SMH6","Hickory",3,"50%","Canopy"
"557","SMH6","Red maple",1,"17%","Canopy"
"558","SMH7","Hickory",2,"50%","Canopy"
"559","SMH7","Tulip poplar",2,"50%","Canopy"
"560","SMH8","Hickory",1,"20%","Canopy"
